Wall time,Step,Value
1693648195.3755918,33400,13.53600025177002
1693648268.7630005,33500,9.420999526977539
1693648342.2586467,33600,7.896999835968018
1693648414.1985402,33700,6.478000164031982
1693648487.1793923,33800,6.309999942779541
1693648608.8711133,33900,6.5320000648498535
1693648681.6762862,34000,5.190999984741211
1693648797.49292,34100,4.567999839782715
1693648869.6738954,34200,4.295000076293945
1693648942.2441034,34300,3.2939999103546143
1693649015.3393312,34400,5.0
1693649087.9589336,34500,6.401000022888184
1693649160.4981065,34600,6.059999942779541
1693649233.4428566,34700,4.079999923706055
1693649305.5205996,34800,4.133999824523926
1693649378.038605,34900,3.430999994277954
1693649450.5760295,35000,2.9539999961853027
1693649523.3329308,35100,2.694999933242798
1693649596.5422523,35200,2.635999917984009
1693649668.9984238,35300,2.3919999599456787
1693649790.1306293,35400,2.322999954223633
1693649862.0797067,35500,3.7820000648498535
1693649935.2338686,35600,10.321999549865723
1693650008.6070592,35700,15.135000228881836
1693650081.841045,35800,10.8149995803833
1693650154.446717,35900,7.4019999504089355
1693650226.7305503,36000,6.005000114440918
1693650342.0308788,36100,3.808000087738037
1693650414.5536323,36200,2.5829999446868896
1693650487.261082,36300,2.252000093460083
1693650559.8011248,36400,2.434999942779541
1693650632.4421868,36500,2.5269999504089355
1693650704.196034,36600,2.3329999446868896
1693650778.0999122,36700,1.8020000457763672
1693650853.208926,36800,2.563999891281128
1693650975.392355,36900,17.0049991607666
1693651047.9688296,37000,37.595001220703125
1693651120.9103124,37100,40.492000579833984
1693651193.4691079,37200,32.742000579833984
1693651265.5509315,37300,28.966999053955078
1693651337.8706627,37400,17.72800064086914
1693651410.9087887,37500,17.85099983215332
1693651482.8133743,37600,14.08899974822998
1693651555.491085,37700,11.062999725341797
1693651627.9817004,37800,10.661999702453613
1693651700.919946,37900,8.781000137329102
1693651773.978157,38000,7.770999908447266
1693651889.5717902,38100,7.758999824523926
1693651963.3334007,38200,6.938000202178955
1693652035.697403,38300,6.547999858856201
1693652155.3769403,38400,6.863999843597412
1693652228.1189072,38500,6.017000198364258
1693652301.1443224,38600,6.142000198364258
1693652375.1957467,38700,6.626999855041504
1693652448.0508208,38800,5.658999919891357
1693652520.2074602,38900,5.938000202178955
1693652592.7775173,39000,5.841000080108643
1693652664.6744757,39100,5.835999965667725
1693652737.074441,39200,5.439000129699707
1693652810.682175,39300,5.188000202178955
1693652883.1299884,39400,5.310999870300293
1693652955.9145958,39500,6.570000171661377
1693653027.7433057,39600,6.436999797821045
1693653099.4375072,39700,5.580999851226807
1693653225.2275143,39800,5.439000129699707
1693653297.3089879,39900,6.284999847412109
1693653369.418652,40000,4.89300012588501
1693653490.118861,40100,4.8379998207092285
1693653562.5966694,40200,5.577000141143799
1693653635.2793007,40300,5.13700008392334
1693653707.1510618,40400,4.611999988555908
1693653779.7949824,40500,3.9000000953674316
1693653851.4101288,40600,4.241000175476074
1693653925.1417706,40700,4.547999858856201
1693653997.9896004,40800,4.415999889373779
1693654070.7052455,40900,4.295000076293945
1693654142.9953482,41000,4.166999816894531
1693654216.088843,41100,5.4770002365112305
1693654289.0318751,41200,6.848999977111816
1693654416.1253648,41300,5.705999851226807
1693654488.7006314,41400,5.375999927520752
1693654561.7517207,41500,4.663000106811523
1693654634.5568862,41600,5.046000003814697
1693654707.0770729,41700,4.691999912261963
1693654780.3695443,41800,5.546000003814697
1693654852.938914,41900,5.583000183105469
1693654926.0009499,42000,5.605999946594238
1693655041.296031,42100,6.548999786376953
1693655113.41058,42200,5.4720001220703125
1693655186.1036997,42300,4.804999828338623
1693655258.4015915,42400,5.336999893188477
1693655331.071591,42500,4.60699987411499
1693655403.8550436,42600,4.715000152587891
1693655475.9813344,42700,4.5289998054504395
1693655598.7608669,42800,3.9679999351501465
1693655671.2166395,42900,3.9839999675750732
1693655743.558256,43000,4.50600004196167
1693655816.465512,43100,4.514999866485596
1693655887.947717,43200,4.427000045776367
1693655960.6315448,43300,4.190000057220459
1693656033.9289994,43400,3.8919999599456787
1693656106.60001,43500,3.7820000648498535
1693656179.4985282,43600,3.572999954223633
1693656251.7506542,43700,3.9690001010894775
1693656325.5463476,43800,4.497000217437744
1693656398.2636847,43900,3.825000047683716
1693656471.520231,44000,4.433000087738037
1693656585.3020802,44100,3.427999973297119
1693656657.2299812,44200,3.9649999141693115
1693656783.6589186,44300,4.13700008392334
1693656856.2396178,44400,3.7820000648498535
1693656929.3117614,44500,3.684000015258789
1693657002.1800508,44600,4.497000217437744
1693657075.1449416,44700,4.795000076293945
1693657147.7957752,44800,4.6620001792907715
1693657220.4496894,44900,5.080999851226807
1693657293.3302119,45000,6.840000152587891
1693657366.0500317,45100,6.432000160217285
1693657437.9251144,45200,4.831999778747559
1693657510.891816,45300,3.5820000171661377
1693657582.643939,45400,2.561000108718872
1693657655.0101871,45500,2.11299991607666
1693657727.7285018,45600,2.049999952316284
1693657847.3590026,45700,2.2309999465942383
1693657920.3768415,45800,2.9179999828338623
1693657993.3901098,45900,2.9019999504089355
1693658065.0997636,46000,2.3489999771118164
1693658179.4716935,46100,2.122999906539917
1693658252.8527513,46200,2.180000066757202
1693658325.7793913,46300,2.0139999389648438
1693658398.723176,46400,1.934000015258789
1693658470.8486514,46500,1.9930000305175781
1693658543.6292598,46600,2.2639999389648438
1693658616.6984353,46700,3.8420000076293945
1693658689.8293056,46800,7.640999794006348
1693658762.9205692,46900,13.192999839782715
1693658835.076377,47000,30.54800033569336
1693658907.4189208,47100,20.70800018310547
1693659028.6015294,47200,23.736000061035156
1693659101.2270167,47300,31.148000717163086
1693659174.4025183,47400,14.130999565124512
1693659246.7793193,47500,12.196000099182129
1693659318.3836584,47600,6.795000076293945
1693659391.4402244,47700,8.0600004196167
1693659464.4748762,47800,7.171000003814697
1693659537.117791,47900,6.2179999351501465
1693659608.8695805,48000,4.64900016784668
1693659728.4661207,48100,6.441999912261963
1693659802.1143115,48200,6.5289998054504395
1693659875.5428169,48300,6.144000053405762
1693659948.5088394,48400,5.604000091552734
1693660021.4102225,48500,4.994999885559082
1693660094.2947426,48600,5.315000057220459
1693660220.7120788,48700,7.445000171661377
1693660293.4978175,48800,5.203000068664551
1693660366.5992963,48900,4.218999862670898
1693660439.2460442,49000,3.446000099182129
1693660511.7470453,49100,3.184000015258789
1693660583.7792172,49200,2.615999937057495
1693660656.5656822,49300,2.4489998817443848
1693660729.0873435,49400,2.322000026702881
1693660802.1764646,49500,2.1579999923706055
1693660874.8116121,49600,2.11299991607666
1693660947.5199015,49700,2.058000087738037
1693661020.9445136,49800,4.059999942779541
1693661093.0322359,49900,5.909999847412109
1693661166.2706013,50000,5.4770002365112305
